version,id,code,name,countryid,,start,id,code,name,countryid,end,script
0,1,1000,Overtime,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_1_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""1""></param>","<param name=""code"" value=""1000""></param>","<param name=""name"" value=""Overtime""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_1_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""1""></param><param name=""code"" value=""1000""></param><param name=""name"" value=""Overtime""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,2,1100,Vacation allowance,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_2_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""2""></param>","<param name=""code"" value=""1100""></param>","<param name=""name"" value=""Vacation allowance""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_2_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""2""></param><param name=""code"" value=""1100""></param><param name=""name"" value=""Vacation allowance""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,3,1200,Bonus,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_3_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""3""></param>","<param name=""code"" value=""1200""></param>","<param name=""name"" value=""Bonus""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_3_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""3""></param><param name=""code"" value=""1200""></param><param name=""name"" value=""Bonus""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,4,1300,Child allowance,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_4_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""4""></param>","<param name=""code"" value=""1300""></param>","<param name=""name"" value=""Child allowance""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_4_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""4""></param><param name=""code"" value=""1300""></param><param name=""name"" value=""Child allowance""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,5,1400,Lump sum,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_5_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""5""></param>","<param name=""code"" value=""1400""></param>","<param name=""name"" value=""Lump sum""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_5_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""5""></param><param name=""code"" value=""1400""></param><param name=""name"" value=""Lump sum""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,6,1500,Jubilee,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_6_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""6""></param>","<param name=""code"" value=""1500""></param>","<param name=""name"" value=""Jubilee""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_6_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""6""></param><param name=""code"" value=""1500""></param><param name=""name"" value=""Jubilee""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,7,1600,Extra earnings,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_7_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""7""></param>","<param name=""code"" value=""1600""></param>","<param name=""name"" value=""Extra earnings""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_7_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""7""></param><param name=""code"" value=""1600""></param><param name=""name"" value=""Extra earnings""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,8,1700,AOV premium,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_8_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""8""></param>","<param name=""code"" value=""1700""></param>","<param name=""name"" value=""AOV premium""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_8_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""8""></param><param name=""code"" value=""1700""></param><param name=""name"" value=""AOV premium""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,9,1800,AOV overtime,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_9_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""9""></param>","<param name=""code"" value=""1800""></param>","<param name=""name"" value=""AOV overtime""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_9_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""9""></param><param name=""code"" value=""1800""></param><param name=""name"" value=""AOV overtime""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,10,1900,AOV vacation allowance,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_10_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""10""></param>","<param name=""code"" value=""1900""></param>","<param name=""name"" value=""AOV vacation allowance""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_10_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""10""></param><param name=""code"" value=""1900""></param><param name=""name"" value=""AOV vacation allowance""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
