version,id,taxtarifftypeid,index,percentage,minamount,maxamount,startdate,enddate,countryid,,start,id,taxtarifftypeid,index,percentage,minamount,maxamount,startdate,enddate,countryid,end,script
0,-1,1,2,8,0,"42,000.00",2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-1_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-1""></param>","<param name=""taxtarifftype"" value=""1""></param>","<param name=""index"" value=""2""></param>","<param name=""percentage"" value=""8""></param>","<param name=""minamount"" value=""0""></param>","<param name=""maxamount"" value=""42000""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-1_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-1""></param><param name=""taxtarifftype"" value=""1""></param><param name=""index"" value=""2""></param><param name=""percentage"" value=""8""></param><param name=""minamount"" value=""0""></param><param name=""maxamount"" value=""42000""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-2,1,3,18,"42,000.00","84,000.00",2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-2_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-2""></param>","<param name=""taxtarifftype"" value=""1""></param>","<param name=""index"" value=""3""></param>","<param name=""percentage"" value=""18""></param>","<param name=""minamount"" value=""42000""></param>","<param name=""maxamount"" value=""84000""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-2_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-2""></param><param name=""taxtarifftype"" value=""1""></param><param name=""index"" value=""3""></param><param name=""percentage"" value=""18""></param><param name=""minamount"" value=""42000""></param><param name=""maxamount"" value=""84000""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-3,1,4,28,"84,000.00","126,000.00",2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-3_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-3""></param>","<param name=""taxtarifftype"" value=""1""></param>","<param name=""index"" value=""4""></param>","<param name=""percentage"" value=""28""></param>","<param name=""minamount"" value=""84000""></param>","<param name=""maxamount"" value=""126000""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-3_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-3""></param><param name=""taxtarifftype"" value=""1""></param><param name=""index"" value=""4""></param><param name=""percentage"" value=""28""></param><param name=""minamount"" value=""84000""></param><param name=""maxamount"" value=""126000""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-4,1,5,38,"126,000.00",,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-4_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-4""></param>","<param name=""taxtarifftype"" value=""1""></param>","<param name=""index"" value=""5""></param>","<param name=""percentage"" value=""38""></param>","<param name=""minamount"" value=""126000""></param>","<param name=""maxamount"" value=""""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-4_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-4""></param><param name=""taxtarifftype"" value=""1""></param><param name=""index"" value=""5""></param><param name=""percentage"" value=""38""></param><param name=""minamount"" value=""126000""></param><param name=""maxamount"" value=""""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-5,2,1,5,0,42000,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-5_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-5""></param>","<param name=""taxtarifftype"" value=""2""></param>","<param name=""index"" value=""1""></param>","<param name=""percentage"" value=""5""></param>","<param name=""minamount"" value=""0""></param>","<param name=""maxamount"" value=""42000""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-5_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-5""></param><param name=""taxtarifftype"" value=""2""></param><param name=""index"" value=""1""></param><param name=""percentage"" value=""5""></param><param name=""minamount"" value=""0""></param><param name=""maxamount"" value=""42000""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-6,2,2,15,42000,84000,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-6_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-6""></param>","<param name=""taxtarifftype"" value=""2""></param>","<param name=""index"" value=""2""></param>","<param name=""percentage"" value=""15""></param>","<param name=""minamount"" value=""42000""></param>","<param name=""maxamount"" value=""84000""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-6_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-6""></param><param name=""taxtarifftype"" value=""2""></param><param name=""index"" value=""2""></param><param name=""percentage"" value=""15""></param><param name=""minamount"" value=""42000""></param><param name=""maxamount"" value=""84000""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-7,2,3,25,84000,126000,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-7_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-7""></param>","<param name=""taxtarifftype"" value=""2""></param>","<param name=""index"" value=""3""></param>","<param name=""percentage"" value=""25""></param>","<param name=""minamount"" value=""84000""></param>","<param name=""maxamount"" value=""126000""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-7_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-7""></param><param name=""taxtarifftype"" value=""2""></param><param name=""index"" value=""3""></param><param name=""percentage"" value=""25""></param><param name=""minamount"" value=""84000""></param><param name=""maxamount"" value=""126000""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-8,2,4,35,126000,,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-8_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-8""></param>","<param name=""taxtarifftype"" value=""2""></param>","<param name=""index"" value=""4""></param>","<param name=""percentage"" value=""35""></param>","<param name=""minamount"" value=""126000""></param>","<param name=""maxamount"" value=""""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-8_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-8""></param><param name=""taxtarifftype"" value=""2""></param><param name=""index"" value=""4""></param><param name=""percentage"" value=""35""></param><param name=""minamount"" value=""126000""></param><param name=""maxamount"" value=""""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-12,4,1,0,0,9,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-12_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-12""></param>","<param name=""taxtarifftype"" value=""4""></param>","<param name=""index"" value=""1""></param>","<param name=""percentage"" value=""0""></param>","<param name=""minamount"" value=""0""></param>","<param name=""maxamount"" value=""9""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-12_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-12""></param><param name=""taxtarifftype"" value=""4""></param><param name=""index"" value=""1""></param><param name=""percentage"" value=""0""></param><param name=""minamount"" value=""0""></param><param name=""maxamount"" value=""9""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-13,4,2,25,10,14,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-13_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-13""></param>","<param name=""taxtarifftype"" value=""4""></param>","<param name=""index"" value=""2""></param>","<param name=""percentage"" value=""25""></param>","<param name=""minamount"" value=""10""></param>","<param name=""maxamount"" value=""14""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-13_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-13""></param><param name=""taxtarifftype"" value=""4""></param><param name=""index"" value=""2""></param><param name=""percentage"" value=""25""></param><param name=""minamount"" value=""10""></param><param name=""maxamount"" value=""14""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
