version,id,countryid,name,frequency,,start,id,countryid,name,frequency,end,script
0,1,740,Wage tax,YEAR,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_1_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType"">","<param name=""id"" value=""1""></param>","<param name=""countryid"" value=""740""></param>","<param name=""name"" value=""Wage tax""></param>","<param name=""frequency"" value=""YEAR""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_1_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType""><param name=""id"" value=""1""></param><param name=""countryid"" value=""740""></param><param name=""name"" value=""Wage tax""></param><param name=""frequency"" value=""YEAR""></param></customChange></changeSet>"
0,2,740,Payments at once,YEAR,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_2_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType"">","<param name=""id"" value=""2""></param>","<param name=""countryid"" value=""740""></param>","<param name=""name"" value=""Payments at once""></param>","<param name=""frequency"" value=""YEAR""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_2_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType""><param name=""id"" value=""2""></param><param name=""countryid"" value=""740""></param><param name=""name"" value=""Payments at once""></param><param name=""frequency"" value=""YEAR""></param></customChange></changeSet>"
0,3,740,Overtime,MONTH,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_3_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType"">","<param name=""id"" value=""3""></param>","<param name=""countryid"" value=""740""></param>","<param name=""name"" value=""Overtime""></param>","<param name=""frequency"" value=""MONTH""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_3_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType""><param name=""id"" value=""3""></param><param name=""countryid"" value=""740""></param><param name=""name"" value=""Overtime""></param><param name=""frequency"" value=""MONTH""></param></customChange></changeSet>"
0,4,740,Tax free service years article 17a,MONTH,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_4_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType"">","<param name=""id"" value=""4""></param>","<param name=""countryid"" value=""740""></param>","<param name=""name"" value=""Tax free service years article 17a""></param>","<param name=""frequency"" value=""MONTH""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_4_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType""><param name=""id"" value=""4""></param><param name=""countryid"" value=""740""></param><param name=""name"" value=""Tax free service years article 17a""></param><param name=""frequency"" value=""MONTH""></param></customChange></changeSet>"
0,5,740,AOV premium percentage,MONTH,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_5_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType"">","<param name=""id"" value=""5""></param>","<param name=""countryid"" value=""740""></param>","<param name=""name"" value=""AOV premium percentage""></param>","<param name=""frequency"" value=""MONTH""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_5_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType""><param name=""id"" value=""5""></param><param name=""countryid"" value=""740""></param><param name=""name"" value=""AOV premium percentage""></param><param name=""frequency"" value=""MONTH""></param></customChange></changeSet>"
0,6,740,Deductible expenses,YEAR,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_6_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType"">","<param name=""id"" value=""6""></param>","<param name=""countryid"" value=""740""></param>","<param name=""name"" value=""Deductible expenses""></param>","<param name=""frequency"" value=""YEAR""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_6_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType""><param name=""id"" value=""6""></param><param name=""countryid"" value=""740""></param><param name=""name"" value=""Deductible expenses""></param><param name=""frequency"" value=""YEAR""></param></customChange></changeSet>"
0,8,740,Tax free wage tax,YEAR,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_8_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType"">","<param name=""id"" value=""8""></param>","<param name=""countryid"" value=""740""></param>","<param name=""name"" value=""Tax free wage tax""></param>","<param name=""frequency"" value=""YEAR""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_8_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType""><param name=""id"" value=""8""></param><param name=""countryid"" value=""740""></param><param name=""name"" value=""Tax free wage tax""></param><param name=""frequency"" value=""YEAR""></param></customChange></changeSet>"
0,9,740,Tax free for Vacation allowance,YEAR,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_9_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType"">","<param name=""id"" value=""9""></param>","<param name=""countryid"" value=""740""></param>","<param name=""name"" value=""Tax free for Vacation allowance""></param>","<param name=""frequency"" value=""YEAR""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_9_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType""><param name=""id"" value=""9""></param><param name=""countryid"" value=""740""></param><param name=""name"" value=""Tax free for Vacation allowance""></param><param name=""frequency"" value=""YEAR""></param></customChange></changeSet>"
0,10,740,Tax free for Bonus,YEAR,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_10_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType"">","<param name=""id"" value=""10""></param>","<param name=""countryid"" value=""740""></param>","<param name=""name"" value=""Tax free for Bonus""></param>","<param name=""frequency"" value=""YEAR""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_10_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType""><param name=""id"" value=""10""></param><param name=""countryid"" value=""740""></param><param name=""name"" value=""Tax free for Bonus""></param><param name=""frequency"" value=""YEAR""></param></customChange></changeSet>"
0,11,740,Tax free amount child allowance,MONTH,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_11_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType"">","<param name=""id"" value=""11""></param>","<param name=""countryid"" value=""740""></param>","<param name=""name"" value=""Tax free amount child allowance""></param>","<param name=""frequency"" value=""MONTH""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_tariff_type_11_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxTariffType""><param name=""id"" value=""11""></param><param name=""countryid"" value=""740""></param><param name=""name"" value=""Tax free amount child allowance""></param><param name=""frequency"" value=""MONTH""></param></customChange></changeSet>"
